lang,file,n_iter,loc_mean,loc_stdev,raw_bytes_mean,raw_bytes_stdev,outline_bytes_mean,outline_bytes_stdev,ratio_mean,ratio_stdev,tokens_raw_est_mean,tokens_raw_est_stdev,tokens_outline_est_mean,tokens_outline_est_stdev,tokens_savings_mean,tokens_savings_stdev
go,file-01.go,7,390.000000,0.000000,11737.000000,0.000000,3306.000000,0.000000,0.281700,0.000000,3900.000000,0.000000,900.000000,0.000000,0.769200,0.000000
go,file-02.go,7,374.000000,0.000000,15177.000000,0.000000,5522.000000,0.000000,0.363800,0.000000,3740.000000,0.000000,1320.000000,0.000000,0.647100,0.000000
go,file-03.go,7,1098.000000,0.000000,36828.000000,0.000000,9725.000000,0.000000,0.264100,0.000000,10980.000000,0.000000,2260.000000,0.000000,0.794200,0.000000
go,file-04.go,7,363.000000,0.000000,14764.000000,0.000000,4414.000000,0.000000,0.299000,0.000000,3630.000000,0.000000,1120.000000,0.000000,0.691500,0.000000
go,file-05.go,7,130.000000,0.000000,2856.000000,0.000000,890.000000,0.000000,0.311600,0.000000,1300.000000,0.000000,350.000000,0.000000,0.730800,0.000000
go,file-06.go,7,93.000000,0.000000,2532.000000,0.000000,868.000000,0.000000,0.342800,0.000000,930.000000,0.000000,270.000000,0.000000,0.709700,0.000000
go,file-07.go,7,76.000000,0.000000,2221.000000,0.000000,1031.000000,0.000000,0.464200,0.000000,760.000000,0.000000,240.000000,0.000000,0.684200,0.000000
go,file-08.go,7,83.000000,0.000000,2720.000000,0.000000,1838.000000,0.000000,0.675700,0.000000,830.000000,0.000000,460.000000,0.000000,0.445800,0.000000
go,file-09.go,7,220.000000,0.000000,7915.000000,0.000000,4435.000000,0.000000,0.560300,0.000000,2200.000000,0.000000,930.000000,0.000000,0.577300,0.000000
go,file-10.go,7,83.000000,0.000000,2859.000000,0.000000,1735.000000,0.000000,0.606900,0.000000,830.000000,0.000000,440.000000,0.000000,0.469900,0.000000
javascript,file-01.js,7,80.000000,0.000000,1904.000000,0.000000,75.000000,0.000000,0.039400,0.000000,800.000000,0.000000,80.000000,0.000000,0.900000,0.000000
javascript,file-02.js,7,81.000000,0.000000,2777.000000,0.000000,117.000000,0.000000,0.042100,0.000000,810.000000,0.000000,110.000000,0.000000,0.864200,0.000000
javascript,file-03.js,7,81.000000,0.000000,2642.000000,0.000000,174.000000,0.000000,0.065900,0.000000,810.000000,0.000000,150.000000,0.000000,0.814800,0.000000
