group,dispatches,cdf
high-confidence,0,1.0000
high-confidence,1,1.0000
high-confidence,2,1.0000
high-confidence,3,1.0000
high-confidence,4,1.0000
high-confidence,5,1.0000
high-confidence,6,1.0000
high-confidence,7,1.0000
high-confidence,8,1.0000
high-confidence,9,1.0000
high-confidence,10,1.0000
high-confidence,11,1.0000
high-confidence,12,1.0000
high-confidence,13,1.0000
high-confidence,14,1.0000
high-confidence,15,1.0000
high-confidence,16,1.0000
high-confidence,17,1.0000
high-confidence,18,1.0000
high-confidence,19,1.0000
high-confidence,20,1.0000
high-confidence,21,1.0000
high-confidence,22,1.0000
high-confidence,23,1.0000
high-confidence,24,1.0000
high-confidence,25,1.0000
high-confidence,26,1.0000
high-confidence,27,1.0000
high-confidence,28,1.0000
high-confidence,29,1.0000
high-confidence,30,1.0000
high-confidence,31,1.0000
high-confidence,32,1.0000
high-confidence,33,1.0000
high-confidence,34,1.0000
high-confidence,35,1.0000
high-confidence,36,1.0000
high-confidence,37,1.0000
high-confidence,38,1.0000
high-confidence,39,1.0000
high-confidence,40,1.0000
high-confidence,41,1.0000
high-confidence,42,1.0000
high-confidence,43,1.0000
high-confidence,44,1.0000
high-confidence,45,1.0000
high-confidence,46,1.0000
high-confidence,47,1.0000
high-confidence,48,1.0000
high-confidence,49,1.0000
high-confidence,50,1.0000
high-confidence,51,1.0000
high-confidence,52,1.0000
high-confidence,53,1.0000
high-confidence,54,1.0000
high-confidence,55,1.0000
high-confidence,56,1.0000
high-confidence,57,1.0000
high-confidence,58,1.0000
high-confidence,59,1.0000
high-confidence,60,1.0000
high-confidence,61,1.0000
high-confidence,62,1.0000
high-confidence,63,1.0000
high-confidence,64,1.0000
high-confidence,65,1.0000
high-confidence,66,1.0000
high-confidence,67,1.0000
high-confidence,68,1.0000
high-confidence,69,1.0000
high-confidence,70,1.0000
high-confidence,71,1.0000
high-confidence,72,1.0000
high-confidence,73,1.0000
high-confidence,74,1.0000
high-confidence,75,1.0000
high-confidence,76,1.0000
high-confidence,77,1.0000
high-confidence,78,1.0000
high-confidence,79,1.0000
high-confidence,80,1.0000
high-confidence,81,1.0000
thin-evidence-flat,0,0.4000
thin-evidence-flat,1,0.4000
thin-evidence-flat,2,0.4000
thin-evidence-flat,3,0.4000
thin-evidence-flat,4,0.4000
thin-evidence-flat,5,0.4000
thin-evidence-flat,6,0.4000
thin-evidence-flat,7,0.4000
thin-evidence-flat,8,0.4000
thin-evidence-flat,9,0.4000
thin-evidence-flat,10,0.4000
thin-evidence-flat,11,0.4000
thin-evidence-flat,12,0.4000
thin-evidence-flat,13,0.4000
thin-evidence-flat,14,0.4000
thin-evidence-flat,15,0.4000
thin-evidence-flat,16,0.4000
thin-evidence-flat,17,0.4000
thin-evidence-flat,18,0.4000
thin-evidence-flat,19,0.6000
thin-evidence-flat,20,0.7000
thin-evidence-flat,21,0.7000
thin-evidence-flat,22,0.8000
thin-evidence-flat,23,0.8000
thin-evidence-flat,24,0.8000
thin-evidence-flat,25,0.8000
thin-evidence-flat,26,0.8000
thin-evidence-flat,27,0.8000
thin-evidence-flat,28,0.8000
thin-evidence-flat,29,0.8000
thin-evidence-flat,30,0.8000
thin-evidence-flat,31,0.8000
thin-evidence-flat,32,0.8000
thin-evidence-flat,33,0.8000
thin-evidence-flat,34,0.8000
thin-evidence-flat,35,0.8000
thin-evidence-flat,36,0.8000
thin-evidence-flat,37,0.8000
thin-evidence-flat,38,0.8000
thin-evidence-flat,39,0.8000
thin-evidence-flat,40,0.8000
thin-evidence-flat,41,0.8000
thin-evidence-flat,42,0.8000
thin-evidence-flat,43,0.8000
thin-evidence-flat,44,0.8000
thin-evidence-flat,45,0.8000
thin-evidence-flat,46,0.8000
thin-evidence-flat,47,0.8000
thin-evidence-flat,48,0.8000
thin-evidence-flat,49,0.8000
thin-evidence-flat,50,0.8000
thin-evidence-flat,51,0.8000
thin-evidence-flat,52,0.8000
thin-evidence-flat,53,0.8000
thin-evidence-flat,54,0.8000
thin-evidence-flat,55,0.8000
thin-evidence-flat,56,0.8000
thin-evidence-flat,57,0.8000
thin-evidence-flat,58,0.8000
thin-evidence-flat,59,0.8000
thin-evidence-flat,60,0.8000
thin-evidence-flat,61,0.8000
thin-evidence-flat,62,0.8000
thin-evidence-flat,63,0.8000
thin-evidence-flat,64,0.8000
thin-evidence-flat,65,0.9000
thin-evidence-flat,66,0.9000
thin-evidence-flat,67,0.9000
thin-evidence-flat,68,0.9000
thin-evidence-flat,69,0.9000
thin-evidence-flat,70,0.9000
thin-evidence-flat,71,0.9000
thin-evidence-flat,72,0.9000
thin-evidence-flat,73,0.9000
thin-evidence-flat,74,0.9000
thin-evidence-flat,75,0.9000
thin-evidence-flat,76,0.9000
thin-evidence-flat,77,0.9000
thin-evidence-flat,78,0.9000
thin-evidence-flat,79,0.9000
thin-evidence-flat,80,0.9000
thin-evidence-flat,81,1.0000
thin-evidence-informed,0,0.6000
thin-evidence-informed,1,0.6000
thin-evidence-informed,2,0.6000
thin-evidence-informed,3,0.6000
thin-evidence-informed,4,0.6000
thin-evidence-informed,5,0.6000
thin-evidence-informed,6,0.6000
thin-evidence-informed,7,0.6000
thin-evidence-informed,8,0.6000
thin-evidence-informed,9,0.6000
thin-evidence-informed,10,0.6000
thin-evidence-informed,11,0.6000
thin-evidence-informed,12,0.6000
thin-evidence-informed,13,0.6000
thin-evidence-informed,14,0.6000
thin-evidence-informed,15,0.6000
thin-evidence-informed,16,0.6000
thin-evidence-informed,17,0.6000
thin-evidence-informed,18,0.6000
thin-evidence-informed,19,0.7000
thin-evidence-informed,20,0.7000
thin-evidence-informed,21,0.7000
thin-evidence-informed,22,0.7000
thin-evidence-informed,23,0.7000
thin-evidence-informed,24,0.7000
thin-evidence-informed,25,0.8000
thin-evidence-informed,26,0.8000
thin-evidence-informed,27,0.8000
thin-evidence-informed,28,0.8000
thin-evidence-informed,29,0.8000
thin-evidence-informed,30,0.8000
thin-evidence-informed,31,0.8000
thin-evidence-informed,32,0.8000
thin-evidence-informed,33,0.8000
thin-evidence-informed,34,0.8000
thin-evidence-informed,35,0.8000
thin-evidence-informed,36,0.8000
thin-evidence-informed,37,0.8000
thin-evidence-informed,38,0.8000
thin-evidence-informed,39,0.8000
thin-evidence-informed,40,0.8000
thin-evidence-informed,41,0.8000
thin-evidence-informed,42,0.8000
thin-evidence-informed,43,0.8000
thin-evidence-informed,44,0.9000
thin-evidence-informed,45,0.9000
thin-evidence-informed,46,0.9000
thin-evidence-informed,47,0.9000
thin-evidence-informed,48,0.9000
thin-evidence-informed,49,0.9000
thin-evidence-informed,50,0.9000
thin-evidence-informed,51,0.9000
thin-evidence-informed,52,0.9000
thin-evidence-informed,53,0.9000
thin-evidence-informed,54,0.9000
thin-evidence-informed,55,0.9000
thin-evidence-informed,56,0.9000
thin-evidence-informed,57,0.9000
thin-evidence-informed,58,0.9000
thin-evidence-informed,59,0.9000
thin-evidence-informed,60,0.9000
thin-evidence-informed,61,0.9000
thin-evidence-informed,62,0.9000
thin-evidence-informed,63,0.9000
